,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,46.28,46.65,45.6503,46.249,46.249,22687875,22687875,-0.031,-0.06698358,46.18,"January 07, 25",-0.0006698358
1,2025-01-06,45.16,46.15,45.1,45.4,45.4,30239031,30239031,0.245,0.53144,45.4525,"January 06, 25",0.0053144
2,2025-01-03,44.75,44.85,44.15,44.81,44.81,23455711,23455711,0.06,0.13408,44.64,"January 03, 25",0.0013408
3,2025-01-02,44.14,44.59,43.8,44.29,44.29,25610600,25610600,0.15,0.33983,44.205,"January 02, 25",0.0033983
4,2024-12-31,44.04,44.23,43.71,43.95,43.95,16110400,16110400,-0.09,-0.20436,43.9825,"December 31, 24",-0.0020436
5,2024-12-30,43.89,44.14,43.55,43.91,43.91,16109800,16109800,0.02,0.04556847,43.8725,"December 30, 24",0.0004556847
6,2024-12-27,44.24,44.78,44.06,44.34,44.34,17972500,17972500,0.1,0.22604,44.355,"December 27, 24",0.0022604
7,2024-12-26,44.21,44.58,44.11,44.55,44.55,16079707,16079707,0.34,0.76906,44.3625,"December 26, 24",0.0076906
8,2024-12-24,43.93,44.42,43.93,44.38,44.38,12054400,12054400,0.45,1.02,44.165,"December 24, 24",0.0102
9,2024-12-23,43.9,44.11,42.78,43.89,43.89,35374800,35374800,-0.01,-0.02277904,43.67,"December 23, 24",-0.0002277904
10,2024-12-20,43.2,44.4,43.1,44.17,44.17,74222240,74222240,0.97,2.25,43.7175,"December 20, 24",0.0225
11,2024-12-19,43.97,44.48,43.31,43.38,43.38,38583600,38583600,-0.59,-1.34,43.785,"December 19, 24",-0.0134
12,2024-12-18,45.14,45.43,43.35,43.5,43.5,41771900,41771900,-1.64,-3.63,44.355,"December 18, 24",-0.0363
13,2024-12-17,45.19,45.19,44.62,45.05,45.05,33054645,33054645,-0.14,-0.3098,45.0125,"December 17, 24",-0.003098
14,2024-12-16,45.59,45.68,45.16,45.47,45.47,27330402,27330402,-0.12,-0.26322,45.475,"December 16, 24",-0.0026322
15,2024-12-13,46.09,46.1,45.38,45.67,45.67,32902300,32902300,-0.42,-0.91126,45.81,"December 13, 24",-0.0091126
16,2024-12-12,46.14,46.47,45.92,46.08,46.08,24017311,24017311,-0.06,-0.13004,46.1525,"December 12, 24",-0.0013004
17,2024-12-11,46.0,46.16,45.47,46.08,46.08,36790500,36790500,0.08,0.17391,45.9275,"December 11, 24",0.0017391
18,2024-12-10,45.91,46.29,45.59,45.75,45.75,35665800,35665800,-0.16,-0.34851,45.885,"December 10, 24",-0.0034851
19,2024-12-09,46.56,46.75,45.9,45.91,45.91,34660938,34660938,-0.65,-1.4,46.28,"December 09, 24",-0.014
20,2024-12-06,47.06,47.06,46.4,46.75,46.75,28931700,28931700,-0.31,-0.65873,46.8175,"December 06, 24",-0.0065873
21,2024-12-05,46.56,47.24,46.5,47.0,46.74,31572100,31572100,0.44,0.94502,46.825,"December 05, 24",0.0094502
22,2024-12-04,46.69,46.78,46.13,46.37,46.11,24941300,24941300,-0.32,-0.68537,46.4925,"December 04, 24",-0.0068537
