,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,73.9,74.29,72.74,74.225,74.225,10891224,10891224,0.325,0.43978349,73.75,"January 07, 25",0.0043978349
1,2025-01-06,72.23,73.99,71.88,72.74,72.74,18887307,18887307,0.51,0.70608,72.71,"January 06, 25",0.0070608
2,2025-01-03,70.88,71.09,69.85,71.0,71.0,11343450,11343450,0.12,0.1693,70.705,"January 03, 25",0.001693
3,2025-01-02,70.94,71.16,69.65,69.94,69.94,9829323,9829323,-1.0,-1.41,70.4225,"January 02, 25",-0.0141
4,2024-12-31,70.55,70.96,70.15,70.39,70.39,6393000,6393000,-0.16,-0.22679,70.5125,"December 31, 24",-0.0022679
5,2024-12-30,70.18,70.83,69.79,70.39,70.39,6664400,6664400,0.21,0.29923,70.2975,"December 30, 24",0.0029923
6,2024-12-27,70.86,71.53,70.54,71.0,71.0,7743100,7743100,0.14,0.19757,70.9825,"December 27, 24",0.0019757
7,2024-12-26,70.54,71.47,70.51,71.35,71.35,6342529,6342529,0.81,1.15,70.9675,"December 26, 24",0.0115
8,2024-12-24,70.1,71.21,69.94,71.0,71.0,6544900,6544900,0.9,1.28,70.5625,"December 24, 24",0.0128
9,2024-12-23,69.36,69.88,68.87,69.77,69.77,8248000,8248000,0.41,0.59112,69.47,"December 23, 24",0.0059112
10,2024-12-20,68.29,70.26,68.03,69.19,69.19,27720100,27720100,0.9,1.32,68.9425,"December 20, 24",0.0132
11,2024-12-19,69.21,69.84,68.32,68.42,68.42,13464308,13464308,-0.79,-1.14,68.9475,"December 19, 24",-0.0114
12,2024-12-18,71.18,71.47,67.92,68.12,68.12,18028000,18028000,-3.06,-4.3,69.6725,"December 18, 24",-0.043
13,2024-12-17,70.9,71.35,70.8,71.12,71.12,12639036,12639036,0.22,0.3103,71.0425,"December 17, 24",0.003103
14,2024-12-16,71.27,71.77,70.83,71.49,71.49,11833800,11833800,0.225,0.30869,71.34,"December 16, 24",0.0030869
15,2024-12-13,71.71,71.91,70.76,71.01,71.01,9819965,9819965,-0.7,-0.97615,71.3475,"December 13, 24",-0.0097615
16,2024-12-12,71.86,72.33,71.41,71.43,71.43,8893045,8893045,-0.425,-0.59839,71.7575,"December 12, 24",-0.0059839
17,2024-12-11,73.0,73.26,71.27,71.96,71.96,22533600,22533600,-1.04,-1.42,72.3725,"December 11, 24",-0.0142
18,2024-12-10,72.0,73.38,71.58,72.5,72.5,16833442,16833442,0.5,0.69444,72.365,"December 10, 24",0.0069444
19,2024-12-09,72.3,72.8,71.84,71.86,71.86,11957539,11957539,-0.44,-0.60858,72.2,"December 09, 24",-0.0060858
20,2024-12-06,72.31,72.6,71.71,72.15,72.15,8781100,8781100,-0.16,-0.22127,72.1925,"December 06, 24",-0.0022127
21,2024-12-05,71.83,72.85,71.64,72.23,72.23,14307607,14307607,0.405,0.55687,72.1375,"December 05, 24",0.0055687
22,2024-12-04,71.5,71.72,70.5,71.5,71.5,12331924,12331924,0.0,0.0,71.305,"December 04, 24",0.0
23,2024-12-03,72.19,72.8,71.27,71.42,71.42,17544200,17544200,-0.77,-1.07,71.92,"December 03, 24",-0.0107
24,2024-12-02,71.26,71.65,70.88,71.39,71.39,11932638,11932638,0.13,0.18243,71.295,"December 02, 24",0.0018243
25,2024-11-29,70.27,71.09,70.22,70.87,70.87,8606500,8606500,0.6,0.85385,70.6125,"November 29, 24",0.0085385
26,2024-11-27,69.77,70.4,69.66,70.16,70.16,9736100,9736100,0.395,0.55898,69.9975,"November 27, 24",0.0055898
27,2024-11-26,70.36,70.48,69.33,69.75,69.75,11605202,11605202,-0.61,-0.86697,69.98,"November 26, 24",-0.0086697
28,2024-11-25,70.44,71.19,70.03,70.75,70.75,19558100,19558100,0.31,0.44009,70.6025,"November 25, 24",0.0044009
29,2024-11-22,68.91,70.2,68.45,69.84,69.84,16671600,16671600,0.93,1.35,69.35,"November 22, 24",0.0135
30,2024-11-21,68.8,69.47,68.41,68.95,68.95,11390318,11390318,0.15,0.21802,68.9075,"November 21, 24",0.0021802
31,2024-11-20,69.14,69.49,68.0,68.28,68.28,10495623,10495623,-0.86,-1.24,68.7275,"November 20, 24",-0.0124
32,2024-11-19,68.0,68.89,67.7,68.6,68.6,14428229,14428229,0.6,0.88235,68.2975,"November 19, 24",0.0088235
33,2024-11-18,68.68,69.28,68.37,69.0,69.0,11519729,11519729,0.32,0.46593,68.8325,"November 18, 24",0.0046593
