,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,587.11,588.28,568.4,582.3175,582.3175,1295610,1295610,-4.79,-0.81628656,579.67,"January 07, 25",-0.0081628656
1,2025-01-06,584.98,593.65,579.82,583.39,583.39,2237433,2237433,-1.59,-0.2718,585.46,"January 06, 25",-0.002718
2,2025-01-03,581.0,582.14,571.73,580.13,580.13,1422989,1422989,-0.87,-0.14974,578.75,"January 03, 25",-0.0014974
3,2025-01-02,579.31,584.31,569.74,574.97,574.97,2219170,2219170,-4.34,-0.74917,577.0825,"January 02, 25",-0.0074917
4,2024-12-31,575.07,576.92,570.4,572.62,572.62,1055809,1055809,-2.45,-0.42604,573.7525,"December 31, 24",-0.0042604
5,2024-12-30,567.27,576.02,565.1,573.55,573.55,1265900,1265900,6.28,1.11,570.485,"December 30, 24",0.0111
6,2024-12-27,577.0,581.96,571.35,576.18,576.18,1486184,1486184,-0.82,-0.14211,576.6225,"December 27, 24",-0.0014211
7,2024-12-26,578.15,582.59,577.5,581.23,581.23,1092220,1092220,3.08,0.53273,579.8675,"December 26, 24",0.0053273
8,2024-12-24,574.2,582.79,571.36,582.79,582.79,913403,913403,8.59,1.5,577.785,"December 24, 24",0.015
9,2024-12-23,565.0,571.64,561.8,570.78,570.78,1519949,1519949,5.78,1.02,567.305,"December 23, 24",0.0102
10,2024-12-20,554.94,572.9,553.38,566.1,566.1,4515921,4515921,11.16,2.01,561.83,"December 20, 24",0.0201
11,2024-12-19,561.44,567.0,553.6,553.99,553.99,2755784,2755784,-7.45,-1.33,559.0075,"December 19, 24",-0.0133
12,2024-12-18,577.49,579.47,544.49,550.25,550.25,3271600,3271600,-27.24,-4.72,562.925,"December 18, 24",-0.0472
13,2024-12-17,580.84,581.61,572.29,574.68,574.68,2314490,2314490,-6.16,-1.06,577.355,"December 17, 24",-0.0106
14,2024-12-16,588.0,588.27,578.7,586.33,586.33,1713320,1713320,-1.67,-0.28401,585.325,"December 16, 24",-0.0028401
15,2024-12-13,594.0,595.0,585.08,585.48,585.48,1215371,1215371,-8.52,-1.43,589.89,"December 13, 24",-0.0143
16,2024-12-12,592.59,596.32,588.61,591.61,591.61,1218538,1218538,-0.98,-0.16538,592.2825,"December 12, 24",-0.0016538
17,2024-12-11,590.12,593.71,586.9,592.56,592.56,2195314,2195314,2.44,0.41348,590.8225,"December 11, 24",0.0041348
18,2024-12-10,590.0,596.27,583.76,585.03,585.03,2600805,2600805,-4.97,-0.84237,588.765,"December 10, 24",-0.0084237
19,2024-12-09,598.99,603.0,593.72,594.12,594.12,1633266,1633266,-4.87,-0.81304,597.4575,"December 09, 24",-0.0081304
20,2024-12-06,597.16,600.0,594.37,599.68,599.68,1405700,1405700,2.52,0.422,597.8025,"December 06, 24",0.00422
21,2024-12-05,600.53,606.56,596.35,596.8,596.8,1672800,1672800,-3.73,-0.62112,600.06,"December 05, 24",-0.0062112
22,2024-12-04,603.0,604.28,596.76,598.71,598.71,1617529,1617529,-4.29,-0.71144,600.6875,"December 04, 24",-0.0071144
23,2024-12-03,608.96,611.42,600.8,602.08,602.08,1718100,1718100,-6.88,-1.13,605.815,"December 03, 24",-0.0113
24,2024-12-02,608.0,611.91,601.3,601.71,601.71,1804365,1804365,-6.29,-1.03,605.73,"December 02, 24",-0.0103
25,2024-11-29,609.31,612.73,607.06,608.57,605.57,1170200,1170200,-0.74,-0.12145,609.4175,"November 29, 24",-0.0012145
26,2024-11-27,607.68,612.25,603.28,605.43,602.45,1424558,1424558,-2.25,-0.37026,607.16,"November 27, 24",-0.0037026
27,2024-11-26,600.13,607.19,593.0,605.5,602.52,2846937,2846937,5.37,0.89481,601.455,"November 26, 24",0.0089481
28,2024-11-25,608.79,611.3,598.83,603.03,600.06,2940800,2940800,-5.76,-0.94614,605.4875,"November 25, 24",-0.0094614
29,2024-11-22,596.22,603.94,594.44,602.78,599.81,1733996,1733996,6.56,1.1,599.345,"November 22, 24",0.011
30,2024-11-21,586.51,600.7,584.51,596.11,593.17,2282297,2282297,9.6,1.64,591.9575,"November 21, 24",0.0164
31,2024-11-20,583.83,587.8,576.62,581.93,579.06,1528869,1528869,-1.9,-0.32544,582.545,"November 20, 24",-0.0032544
32,2024-11-19,579.66,584.76,575.51,581.38,578.51,2217724,2217724,1.72,0.29673,580.3275,"November 19, 24",0.0029673
33,2024-11-18,594.71,595.07,584.72,587.99,585.09,1857601,1857601,-6.72,-1.13,590.6225,"November 18, 24",-0.0113
34,2024-11-15,593.36,595.14,587.09,593.54,590.61,2007812,2007812,0.18,0.03033572,592.2825,"November 15, 24",0.0003033572
35,2024-11-14,600.0,601.53,586.24,588.61,585.71,1670500,1670500,-11.39,-1.9,594.095,"November 14, 24",-0.019
36,2024-11-13,594.63,603.55,592.65,594.22,591.29,1763195,1763195,-0.41,-0.06895044,596.2625,"November 13, 24",-0.0006895044
37,2024-11-12,598.05,602.09,591.47,592.59,589.67,2392900,2392900,-5.46,-0.91297,596.05,"November 12, 24",-0.0091297
38,2024-11-11,598.9,607.15,596.17,602.34,599.37,2510802,2510802,3.44,0.57439,601.14,"November 11, 24",0.0057439
39,2024-11-08,586.42,595.15,581.3,589.26,586.36,2714000,2714000,2.84,0.48429,588.0325,"November 08, 24",0.0048429
40,2024-11-07,590.0,595.0,581.52,582.17,579.3,4475600,4475600,-7.83,-1.33,587.1725,"November 07, 24",-0.0133
41,2024-11-06,567.3,598.61,566.1,595.98,593.04,8042841,8042841,28.68,5.06,581.9975,"November 06, 24",0.0506
42,2024-11-05,513.0,527.46,512.6,526.96,524.36,2169936,2169936,13.96,2.72,520.005,"November 05, 24",0.0272
43,2024-11-04,518.0,518.05,510.51,511.47,508.95,1798045,1798045,-6.53,-1.26,514.5075,"November 04, 24",-0.0126
44,2024-11-01,520.0,526.64,517.04,519.35,516.79,1625284,1625284,-0.65,-0.125,520.7575,"November 01, 24",-0.00125
45,2024-10-31,522.44,525.0,514.53,517.79,515.24,2061700,2061700,-4.65,-0.89005,519.94,"October 31, 24",-0.0089005
46,2024-10-30,523.4,530.79,523.07,524.4,521.81,1441947,1441947,1.0,0.19106,525.415,"October 30, 24",0.0019106
47,2024-10-29,521.18,527.24,521.0,524.28,521.7,1281786,1281786,3.1,0.5948,523.425,"October 29, 24",0.005948
48,2024-10-28,515.4,524.59,514.98,523.58,521.0,1687386,1687386,8.18,1.59,519.6375,"October 28, 24",0.0159
49,2024-10-25,528.05,528.8,510.74,512.6,510.07,1633203,1633203,-15.45,-2.93,520.0475,"October 25, 24",-0.0293
50,2024-10-24,519.0,525.0,518.2,524.5,521.91,2058200,2058200,5.5,1.06,521.675,"October 24, 24",0.0106
