,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,129.65,129.65,125.465,126.87,126.87,4166836,4166836,-2.78,-2.14423,127.33,"January 07, 25",-0.0214423
1,2025-01-06,127.63,129.95,127.63,128.64,128.64,6662178,6662178,1.01,0.79135,128.4625,"January 06, 25",0.0079135
2,2025-01-03,125.65,126.0,124.08,125.94,125.94,3988482,3988482,0.29,0.2308,125.4175,"January 03, 25",0.002308
3,2025-01-02,126.51,127.28,124.21,124.78,124.78,5018435,5018435,-1.73,-1.37,125.695,"January 02, 25",-0.0137
4,2024-12-31,126.33,126.83,125.2,125.72,125.72,2970313,2970313,-0.61,-0.48286,126.02,"December 31, 24",-0.0048286
5,2024-12-30,124.55,126.16,124.02,125.75,125.75,2637914,2637914,1.2,0.96347,125.12,"December 30, 24",0.0096347
6,2024-12-27,127.05,127.86,125.82,126.76,126.76,3088468,3088468,-0.29,-0.22826,126.8725,"December 27, 24",-0.0022826
7,2024-12-26,126.53,128.17,126.49,128.03,128.03,3013544,3013544,1.5,1.19,127.305,"December 26, 24",0.0119
8,2024-12-24,125.07,127.22,124.59,127.06,127.06,2902800,2902800,1.99,1.59,125.985,"December 24, 24",0.0159
9,2024-12-23,123.1,124.67,122.79,124.45,124.45,5074141,5074141,1.35,1.1,123.7525,"December 23, 24",0.011
10,2024-12-20,121.2,124.54,120.53,123.44,123.44,14884000,14884000,2.24,1.85,122.4275,"December 20, 24",0.0185
11,2024-12-19,124.78,124.94,120.3,120.5,120.5,8634571,8634571,-4.28,-3.43,122.63,"December 19, 24",-0.0343
12,2024-12-18,128.16,128.39,120.29,121.04,121.04,7858800,7858800,-7.12,-5.56,124.47,"December 18, 24",-0.0556
13,2024-12-17,128.1,128.7,127.18,127.74,127.74,7141600,7141600,-0.356,-0.28103,127.93,"December 17, 24",-0.0028103
14,2024-12-16,127.74,129.31,127.39,129.03,129.03,5659958,5659958,1.29,1.01,128.3675,"December 16, 24",0.0101
15,2024-12-13,128.0,128.81,126.71,127.4,127.4,6091500,6091500,-0.6,-0.46875,127.73,"December 13, 24",-0.0046875
16,2024-12-12,127.89,128.83,127.36,127.91,127.91,3610681,3610681,0.02,0.01563844,127.9975,"December 12, 24",0.0001563844
17,2024-12-11,127.75,127.95,126.28,127.59,127.59,8835400,8835400,-0.16,-0.12524,127.3925,"December 11, 24",-0.0012524
18,2024-12-10,127.63,128.61,126.53,126.79,126.79,6551300,6551300,-0.84,-0.65815,127.39,"December 10, 24",-0.0065815
19,2024-12-09,130.52,130.77,128.33,128.58,128.58,7754300,7754300,-1.94,-1.49,129.55,"December 09, 24",-0.0149
20,2024-12-06,130.52,130.57,129.18,129.96,129.96,5013286,5013286,-0.56,-0.42905,130.0575,"December 06, 24",-0.0042905
21,2024-12-05,129.94,131.86,129.42,130.32,130.32,4992087,4992087,0.385,0.29244,130.385,"December 05, 24",0.0029244
22,2024-12-04,130.19,131.2,129.64,129.99,129.99,6203831,6203831,-0.2,-0.15362,130.255,"December 04, 24",-0.0015362
23,2024-12-03,133.19,133.19,130.01,130.44,130.44,4791691,4791691,-2.75,-2.06,131.7075,"December 03, 24",-0.0206
24,2024-12-02,132.3,133.0,130.83,131.03,131.03,5512303,5512303,-1.27,-0.95994,131.79,"December 02, 24",-0.0095994
25,2024-11-29,132.28,132.73,131.42,131.61,131.61,4068225,4068225,-0.67,-0.5065,132.01,"November 29, 24",-0.005065
26,2024-11-27,131.49,132.43,130.57,131.21,131.21,5507859,5507859,-0.28,-0.21294,131.425,"November 27, 24",-0.0021294
27,2024-11-26,130.75,131.79,128.53,131.28,131.28,8817300,8817300,0.53,0.40535,130.5875,"November 26, 24",0.0040535
28,2024-11-25,135.44,136.24,133.58,133.66,133.66,8012309,8012309,-1.78,-1.31,134.73,"November 25, 24",-0.0131
29,2024-11-22,134.68,135.67,133.96,134.69,134.69,6334100,6334100,0.01,0.00742501,134.75,"November 22, 24",7.42501e-05
30,2024-11-21,133.2,135.57,133.14,134.99,134.99,5547725,5547725,1.79,1.34,134.225,"November 21, 24",0.0134
31,2024-11-20,133.16,133.65,131.05,131.69,131.69,5125625,5125625,-1.47,-1.1,132.3875,"November 20, 24",-0.011
32,2024-11-19,133.26,134.09,131.93,132.24,132.24,7244809,7244809,-1.02,-0.76542,132.88,"November 19, 24",-0.0076542
33,2024-11-18,134.69,135.51,133.42,133.78,133.78,6434278,6434278,-0.91,-0.67563,134.35,"November 18, 24",-0.0067563
34,2024-11-15,133.37,134.4,132.54,134.06,134.06,7281941,7281941,0.69,0.51736,133.5925,"November 15, 24",0.0051736
35,2024-11-14,133.1,134.91,131.98,132.43,132.43,7344210,7344210,-0.67,-0.50338,133.105,"November 14, 24",-0.0050338
36,2024-11-13,133.46,134.65,132.47,132.76,132.76,6134840,6134840,-0.7,-0.5245,133.335,"November 13, 24",-0.005245
37,2024-11-12,133.19,133.82,131.71,132.31,132.31,5683300,5683300,-0.88,-0.66071,132.7575,"November 12, 24",-0.0066071
38,2024-11-11,130.55,133.99,130.55,133.52,133.52,6861327,6861327,2.97,2.27,132.1525,"November 11, 24",0.0227
39,2024-11-08,128.98,130.52,127.76,129.53,129.53,6979341,6979341,0.55,0.42642,129.1975,"November 08, 24",0.0042642
40,2024-11-07,130.74,131.55,128.08,128.44,128.44,7780327,7780327,-2.3,-1.76,129.7025,"November 07, 24",-0.0176
41,2024-11-06,129.51,133.52,127.66,131.49,131.49,22798700,22798700,1.98,1.53,130.545,"November 06, 24",0.0153
42,2024-11-05,116.09,117.9,116.09,117.81,117.81,4798400,4798400,1.72,1.48,116.9725,"November 05, 24",0.0148
43,2024-11-04,117.01,117.45,115.94,116.14,116.14,4366558,4366558,-0.865,-0.74353,116.635,"November 04, 24",-0.0074353
44,2024-11-01,116.67,118.02,116.3,116.85,116.85,4372177,4372177,0.18,0.15428,116.96,"November 01, 24",0.0015428
45,2024-10-31,117.13,117.91,115.7,116.25,116.25,5374600,5374600,-0.88,-0.7513,116.7475,"October 31, 24",-0.007513
46,2024-10-30,118.61,119.32,117.79,117.92,117.0,5673000,5673000,-0.69,-0.58174,118.41,"October 30, 24",-0.0058174
47,2024-10-29,118.89,120.09,118.82,119.3,118.36,4622285,4622285,0.41,0.34486,119.275,"October 29, 24",0.0034486
48,2024-10-28,118.12,119.68,117.51,119.13,118.2,5994033,5994033,1.01,0.85506,118.61,"October 28, 24",0.0085506
49,2024-10-25,120.0,120.0,116.33,116.88,115.96,7271700,7271700,-3.12,-2.6,118.3025,"October 25, 24",-0.026
50,2024-10-24,118.4,119.34,117.94,119.17,118.24,5611946,5611946,0.77,0.65034,118.7125,"October 24, 24",0.0065034
51,2024-10-23,117.89,118.74,117.2,118.28,117.35,5661600,5661600,0.39,0.33082,118.0275,"October 23, 24",0.0033082
52,2024-10-22,117.65,118.61,117.25,118.32,117.39,4429614,4429614,0.67,0.56949,117.9575,"October 22, 24",0.0056949
53,2024-10-21,120.37,120.69,117.88,118.28,117.35,7469100,7469100,-2.09,-1.74,119.305,"October 21, 24",-0.0174
54,2024-10-18,119.53,121.12,119.11,121.06,120.11,6852900,6852900,1.53,1.28,120.205,"October 18, 24",0.0128
55,2024-10-17,119.77,120.36,118.73,119.44,118.5,9357200,9357200,-0.33,-0.27553,119.575,"October 17, 24",-0.0027553
56,2024-10-16,116.88,121.45,116.5,119.51,118.57,21458547,21458547,2.63,2.25,118.585,"October 16, 24",0.0225
57,2024-10-15,115.43,116.06,112.03,112.22,111.34,8925200,8925200,-3.2,-2.78,113.935,"October 15, 24",-0.0278
58,2024-10-14,111.05,112.44,110.55,112.28,111.4,7179300,7179300,1.23,1.11,111.58,"October 14, 24",0.0111
59,2024-10-11,109.0,111.48,109.0,110.46,109.59,5826200,5826200,1.46,1.34,109.985,"October 11, 24",0.0134
60,2024-10-10,108.44,109.03,107.65,108.08,107.23,4065520,4065520,-0.36,-0.33198,108.3,"October 10, 24",-0.0033198
61,2024-10-09,107.22,109.37,107.22,109.04,108.18,4445976,4445976,1.82,1.7,108.2125,"October 09, 24",0.017
62,2024-10-08,107.65,108.21,107.39,107.49,106.65,3679612,3679612,-0.16,-0.14863,107.685,"October 08, 24",-0.0014863
63,2024-10-07,107.69,108.92,107.27,107.64,106.8,4439928,4439928,-0.05,-0.04642957,107.88,"October 07, 24",-0.0004642957
64,2024-10-04,107.61,108.08,106.62,107.88,107.03,5609161,5609161,0.268,0.25091,107.5475,"October 04, 24",0.0025091
65,2024-10-03,103.58,104.7,103.16,104.57,103.75,4587217,4587217,0.99,0.95578,104.0025,"October 03, 24",0.0095578
66,2024-10-02,104.83,105.4,103.91,104.52,103.7,3293681,3293681,-0.31,-0.29572,104.665,"October 02, 24",-0.0029572
67,2024-10-01,104.18,105.19,103.06,104.42,103.6,5437427,5437427,0.24,0.23037,104.2125,"October 01, 24",0.0023037
68,2024-09-30,103.74,104.4,103.12,104.24,103.42,3378660,3378660,0.5,0.48197,103.875,"September 30, 24",0.0048197
69,2024-09-27,104.93,105.14,104.02,104.11,103.29,3113300,3113300,-0.82,-0.78147,104.55,"September 27, 24",-0.0078147
70,2024-09-26,103.07,104.79,102.97,104.6,103.78,5183019,5183019,1.53,1.48,103.8575,"September 26, 24",0.0148
71,2024-09-25,102.75,102.81,101.72,102.34,101.54,3825147,3825147,-0.41,-0.39903,102.405,"September 25, 24",-0.0039903
72,2024-09-24,102.77,102.88,101.95,102.58,101.78,4749752,4749752,-0.19,-0.18488,102.545,"September 24, 24",-0.0018488
73,2024-09-23,101.69,102.53,101.31,102.47,101.67,3962451,3962451,0.78,0.76704,102.0,"September 23, 24",0.0076704
74,2024-09-20,100.87,102.53,100.19,102.47,101.67,14513400,14513400,1.6,1.59,101.515,"September 20, 24",0.0159
75,2024-09-19,101.22,101.43,99.52,100.73,99.94,9091900,9091900,-0.49,-0.48409,100.725,"September 19, 24",-0.0048409
76,2024-09-18,100.12,101.01,99.24,99.3,98.52,5195900,5195900,-0.82,-0.81902,99.9175,"September 18, 24",-0.0081902
77,2024-09-17,100.68,100.82,99.44,99.84,99.06,4748600,4748600,-0.84,-0.83433,100.195,"September 17, 24",-0.0083433
78,2024-09-16,99.15,100.19,98.76,100.09,99.3,4467201,4467201,0.945,0.94806,99.5475,"September 16, 24",0.0094806
79,2024-09-13,96.87,98.74,96.85,98.25,97.48,5354881,5354881,1.38,1.42,97.6775,"September 13, 24",0.0142
80,2024-09-12,97.37,97.69,95.68,96.64,95.88,4752900,4752900,-0.73,-0.74972,96.845,"September 12, 24",-0.0074972
81,2024-09-11,95.49,97.14,94.09,97.03,96.27,6764100,6764100,1.54,1.61,95.9375,"September 11, 24",0.0161
82,2024-09-10,98.4,98.43,94.89,96.62,95.86,7798604,7798604,-1.78,-1.81,97.085,"September 10, 24",-0.0181
83,2024-09-09,97.76,99.02,97.6,98.18,97.41,5281500,5281500,0.425,0.42962,98.14,"September 09, 24",0.0042962
84,2024-09-06,99.7,100.8,96.14,96.59,95.83,9246905,9246905,-3.11,-3.12,98.3075,"September 06, 24",-0.0312
85,2024-09-05,101.0,101.3,99.12,99.56,98.78,4462452,4462452,-1.44,-1.43,100.245,"September 05, 24",-0.0143
86,2024-09-04,99.74,101.32,99.68,100.15,99.36,4212707,4212707,0.41,0.41107,100.2225,"September 04, 24",0.0041107
87,2024-09-03,102.85,103.26,98.46,99.27,98.49,6634120,6634120,-3.58,-3.48,100.96,"September 03, 24",-0.0348
88,2024-08-30,102.91,103.81,102.1,103.61,102.8,4951400,4951400,0.705,0.68021,103.1075,"August 30, 24",0.0068021
89,2024-08-29,102.92,102.92,101.28,102.6,101.8,3325667,3325667,-0.32,-0.31092,102.43,"August 29, 24",-0.0031092
90,2024-08-28,101.89,102.7,101.42,102.2,101.4,2836800,2836800,0.31,0.30425,102.0525,"August 28, 24",0.0030425
91,2024-08-27,102.46,102.85,102.04,102.08,101.28,2537200,2537200,-0.38,-0.37088,102.3575,"August 27, 24",-0.0037088
92,2024-08-26,103.04,103.05,101.98,102.33,101.53,2679000,2679000,-0.71,-0.68905,102.6,"August 26, 24",-0.0068905
93,2024-08-23,100.94,102.58,100.82,101.89,101.09,3814813,3814813,0.95,0.94115,101.5575,"August 23, 24",0.0094115
94,2024-08-22,100.76,100.98,99.9,100.56,99.77,2777316,2777316,-0.195,-0.19849,100.55,"August 22, 24",-0.0019849
95,2024-08-21,101.1,101.23,99.96,100.69,99.9,3576018,3576018,-0.41,-0.40554,100.745,"August 21, 24",-0.0040554
96,2024-08-20,101.25,101.63,100.6,100.78,99.99,3396900,3396900,-0.47,-0.4642,101.065,"August 20, 24",-0.004642
97,2024-08-19,101.52,102.04,101.3,101.75,100.95,4070505,4070505,0.23,0.22656,101.6525,"August 19, 24",0.0022656
98,2024-08-16,100.63,101.5,100.46,101.44,100.64,4159725,4159725,0.81,0.80493,101.0075,"August 16, 24",0.0080493
99,2024-08-15,100.8,101.21,100.15,100.64,99.85,5885100,5885100,-0.16,-0.15873,100.7,"August 15, 24",-0.0015873
100,2024-08-14,97.76,100.59,97.51,99.44,98.66,10161752,10161752,1.68,1.72,98.825,"August 14, 24",0.0172
101,2024-08-13,95.77,96.8,94.95,96.71,95.95,5941612,5941612,0.94,0.98152,96.0575,"August 13, 24",0.0098152
102,2024-08-12,94.9,95.22,93.54,94.84,94.1,4196403,4196403,-0.06,-0.06322445,94.625,"August 12, 24",-0.0006322445
103,2024-08-09,94.29,95.12,94.02,94.72,93.98,3542800,3542800,0.43,0.45604,94.5375,"August 09, 24",0.0045604
104,2024-08-08,93.49,95.04,92.78,94.63,93.89,6592349,6592349,1.14,1.22,93.985,"August 08, 24",0.0122
105,2024-08-07,94.61,95.33,92.01,92.11,91.39,7215738,7215738,-2.5,-2.64,93.515,"August 07, 24",-0.0264
106,2024-08-06,92.2,93.84,91.52,92.97,92.24,6068300,6068300,0.77,0.83514,92.6325,"August 06, 24",0.0083514
107,2024-08-05,92.65,93.37,90.94,92.07,91.35,9659510,9659510,-0.58,-0.62601,92.2575,"August 05, 24",-0.0062601
108,2024-08-02,99.0,99.02,95.04,95.85,95.1,11120700,11120700,-3.15,-3.18,97.2275,"August 02, 24",-0.0318
109,2024-08-01,103.75,103.99,101.19,101.76,100.96,5678126,5678126,-1.98,-1.92,102.6725,"August 01, 24",-0.0192
110,2024-07-31,103.08,104.32,102.25,103.21,102.4,5444600,5444600,0.13,0.12612,103.215,"July 31, 24",0.0012612
111,2024-07-30,103.56,104.12,102.78,103.76,102.03,6225723,6225723,0.2,0.19312,103.555,"July 30, 24",0.0019312
112,2024-07-29,104.47,104.57,102.33,102.48,100.77,5183400,5183400,-1.99,-1.9,103.4625,"July 29, 24",-0.019
