,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2025-01-07,72.975,73.12,71.74,72.13,72.13,6679268,6679268,-0.845,-1.15793,72.33,"January 07, 25",-0.0115793
1,2025-01-06,71.93,73.25,71.53,72.03,72.03,15173307,15173307,0.105,0.13902,72.185,"January 06, 25",0.0013902
2,2025-01-03,70.35,71.42,69.74,71.31,71.31,9154750,9154750,0.96,1.36,70.705,"January 03, 25",0.0136
3,2025-01-02,70.48,71.21,69.76,70.19,70.19,8303301,8303301,-0.29,-0.41146,70.41,"January 02, 25",-0.0041146
4,2024-12-31,70.53,70.92,70.06,70.24,70.24,7031615,7031615,-0.29,-0.41117,70.4375,"December 31, 24",-0.0041117
5,2024-12-30,70.41,70.8,69.77,70.41,70.41,8443800,8443800,0.0,0.0,70.3475,"December 30, 24",0.0
6,2024-12-27,71.18,71.74,70.63,71.11,71.11,7219740,7219740,-0.07,-0.09834223,71.165,"December 27, 24",-0.0009834223
7,2024-12-26,71.43,71.84,71.11,71.76,71.76,7026945,7026945,0.33,0.46199,71.535,"December 26, 24",0.0046199
8,2024-12-24,70.67,71.59,70.54,71.59,71.59,4442700,4442700,0.92,1.3,71.0975,"December 24, 24",0.013
9,2024-12-23,69.72,70.69,69.62,70.54,70.54,11817000,11817000,0.82,1.18,70.1425,"December 23, 24",0.0118
10,2024-12-20,69.17,71.04,68.77,70.34,70.34,50113400,50113400,1.17,1.69,69.83,"December 20, 24",0.0169
11,2024-12-19,69.4,70.69,68.67,68.85,68.85,16444623,16444623,-0.55,-0.79251,69.4025,"December 19, 24",-0.0079251
12,2024-12-18,70.61,71.5,68.61,68.76,68.76,21201203,21201203,-1.85,-2.62,69.87,"December 18, 24",-0.0262
13,2024-12-17,71.05,71.54,70.38,70.81,70.81,15595907,15595907,-0.237,-0.33779,70.945,"December 17, 24",-0.0033779
14,2024-12-16,70.47,72.29,69.82,71.98,71.98,24602530,24602530,1.51,2.14,71.14,"December 16, 24",0.0214
15,2024-12-13,70.85,71.05,70.02,70.44,70.44,16794527,16794527,-0.413,-0.57869,70.59,"December 13, 24",-0.0057869
16,2024-12-12,71.88,72.06,70.79,70.8,70.8,12446710,12446710,-1.08,-1.5,71.3825,"December 12, 24",-0.015
17,2024-12-11,72.59,72.92,71.45,71.6,71.6,11867433,11867433,-0.99,-1.36,72.14,"December 11, 24",-0.0136
18,2024-12-10,73.5,73.5,71.9,72.05,72.05,12277491,12277491,-1.45,-1.97,72.7375,"December 10, 24",-0.0197
19,2024-12-09,74.31,74.55,72.42,72.62,72.62,15517503,15517503,-1.69,-2.27,73.475,"December 09, 24",-0.0227
20,2024-12-06,73.99,74.72,73.73,74.33,74.33,14798102,14798102,0.34,0.45952,74.1925,"December 06, 24",0.0045952
21,2024-12-05,73.4,74.61,73.1,73.66,73.66,17766742,17766742,0.26,0.35422,73.6925,"December 05, 24",0.0035422
22,2024-12-04,74.05,74.25,72.71,73.06,73.06,14301100,14301100,-0.99,-1.34,73.5175,"December 04, 24",-0.0134
23,2024-12-03,75.81,75.85,74.02,74.14,74.14,15047900,15047900,-1.67,-2.2,74.955,"December 03, 24",-0.022
24,2024-12-02,76.95,76.95,74.8,75.28,75.28,18274500,18274500,-1.67,-2.17,75.995,"December 02, 24",-0.0217
25,2024-11-29,77.69,78.04,76.14,76.17,76.17,9785038,9785038,-1.52,-1.96,77.01,"November 29, 24",-0.0196
26,2024-11-27,77.37,77.79,76.43,77.21,77.21,19793927,19793927,-0.16,-0.2068,77.2,"November 27, 24",-0.002068
27,2024-11-26,77.5,78.13,76.36,77.35,77.35,19139100,19139100,-0.15,-0.19355,77.335,"November 26, 24",-0.0019355
28,2024-11-25,76.2,77.31,75.97,76.9,76.9,28636600,28636600,0.7,0.91864,76.595,"November 25, 24",0.0091864
29,2024-11-22,74.57,76.08,74.55,75.96,75.96,14997402,14997402,1.39,1.86,75.29,"November 22, 24",0.0186
30,2024-11-21,73.94,76.04,73.94,74.83,74.83,20068239,20068239,0.895,1.2,74.6875,"November 21, 24",0.012
31,2024-11-20,73.67,73.78,72.43,73.58,73.58,14415400,14415400,-0.09,-0.12217,73.365,"November 20, 24",-0.0012217
32,2024-11-19,73.62,74.16,73.13,73.43,73.43,15412942,15412942,-0.19,-0.25808,73.585,"November 19, 24",-0.0025808
33,2024-11-18,74.5,74.7,73.72,74.09,74.09,18440126,18440126,-0.41,-0.55034,74.2525,"November 18, 24",-0.0055034
34,2024-11-15,73.0,74.41,72.89,74.34,74.34,18837000,18837000,1.34,1.84,73.66,"November 15, 24",0.0184
35,2024-11-14,72.85,73.47,72.51,72.8,72.8,13654820,13654820,-0.05,-0.06863418,72.9075,"November 14, 24",-0.0006863418
36,2024-11-13,72.75,73.96,72.66,72.77,72.77,18823337,18823337,0.02,0.02749141,73.035,"November 13, 24",0.0002749141
37,2024-11-12,72.78,73.37,72.11,72.6,72.6,17848200,17848200,-0.175,-0.24732,72.715,"November 12, 24",-0.0024732
38,2024-11-11,71.02,73.25,71.02,72.56,72.56,17117844,17117844,1.54,2.17,71.9625,"November 11, 24",0.0217
39,2024-11-08,70.01,70.13,69.36,70.04,70.04,14270937,14270937,0.035,0.04285102,69.885,"November 08, 24",0.0004285102
40,2024-11-07,71.64,71.67,69.74,69.82,69.42,18681200,18681200,-1.82,-2.54,70.7175,"November 07, 24",-0.0254
41,2024-11-06,73.3,74.27,69.95,72.47,72.05,63689141,63689141,-0.83,-1.13,72.4975,"November 06, 24",-0.0113
42,2024-11-05,64.0,64.5,63.62,64.07,63.7,13447215,13447215,0.07,0.10937,64.0475,"November 05, 24",0.0010937
43,2024-11-04,64.56,64.65,63.05,63.7,63.34,12607419,12607419,-0.86,-1.33,63.99,"November 04, 24",-0.0133
44,2024-11-01,65.22,65.58,64.62,64.68,64.31,13313938,13313938,-0.54,-0.82797,65.025,"November 01, 24",-0.0082797
45,2024-10-31,65.1,65.75,64.63,64.92,64.55,12963200,12963200,-0.18,-0.2765,65.1,"October 31, 24",-0.002765
46,2024-10-30,65.13,66.4,65.13,65.41,65.04,16021700,16021700,0.28,0.42991,65.5175,"October 30, 24",0.0042991
47,2024-10-29,65.49,66.0,65.24,65.3,64.93,13205500,13205500,-0.19,-0.29012,65.5075,"October 29, 24",-0.0029012
48,2024-10-28,65.0,65.75,64.81,65.61,65.23,16158900,16158900,0.615,0.93846,65.2925,"October 28, 24",0.0093846
49,2024-10-25,65.85,65.95,64.25,64.53,64.16,14855500,14855500,-1.31,-2.0,65.145,"October 25, 24",-0.02
50,2024-10-24,64.61,65.57,64.33,65.43,65.06,18393320,18393320,0.815,1.27,64.985,"October 24, 24",0.0127
51,2024-10-23,64.77,65.05,63.86,64.56,64.19,18380900,18380900,-0.21,-0.32422,64.56,"October 23, 24",-0.0032422
52,2024-10-22,64.02,65.21,64.0,64.81,64.44,26164900,26164900,0.79,1.23,64.51,"October 22, 24",0.0123
53,2024-10-21,64.48,64.69,63.92,64.02,63.65,15603400,15603400,-0.46,-0.7134,64.2775,"October 21, 24",-0.007134
54,2024-10-18,64.41,64.78,63.83,64.36,63.99,19234041,19234041,-0.05,-0.0776277,64.345,"October 18, 24",-0.000776277
55,2024-10-17,64.49,64.72,63.5,64.38,64.01,15073500,15073500,-0.11,-0.17057,64.2725,"October 17, 24",-0.0017057
56,2024-10-16,63.24,64.08,63.12,63.89,63.52,17412649,17412649,0.655,1.03,63.5825,"October 16, 24",0.0103
57,2024-10-15,62.91,63.82,62.23,63.03,62.67,24693400,24693400,0.12,0.19075,62.9975,"October 15, 24",0.0019075
58,2024-10-14,61.27,63.35,60.94,62.16,61.8,30758849,30758849,0.89,1.45,61.93,"October 14, 24",0.0145
59,2024-10-11,59.96,61.72,59.92,60.99,60.64,37049236,37049236,1.04,1.72,60.6475,"October 11, 24",0.0172
60,2024-10-10,57.72,58.39,57.35,57.75,57.42,12744000,12744000,0.03,0.05197505,57.8025,"October 10, 24",0.0005197505
61,2024-10-09,57.32,57.73,57.07,57.54,57.21,12415302,12415302,0.22,0.38381,57.415,"October 09, 24",0.0038381
62,2024-10-08,58.28,58.28,57.27,57.3,56.97,12073043,12073043,-0.98,-1.68,57.7825,"October 08, 24",-0.0168
63,2024-10-07,57.23,57.63,56.8,57.16,56.83,11177802,11177802,-0.065,-0.12231,57.205,"October 07, 24",-0.0012231
64,2024-10-04,55.99,57.13,55.98,56.96,56.63,14594449,14594449,0.97,1.73,56.515,"October 04, 24",0.0173
65,2024-10-03,55.08,55.21,54.41,54.98,54.67,8135347,8135347,-0.1,-0.18155,54.92,"October 03, 24",-0.0018155
66,2024-10-02,55.33,55.81,54.92,55.3,54.98,9007200,9007200,-0.03,-0.05422013,55.34,"October 02, 24",-0.0005422013
67,2024-10-01,56.0,56.03,55.2,55.39,55.07,11069400,11069400,-0.61,-1.09,55.655,"October 01, 24",-0.0109
68,2024-09-30,55.66,56.52,55.48,56.49,56.17,16286042,16286042,0.83,1.49,56.0375,"September 30, 24",0.0149
69,2024-09-27,56.62,56.62,55.8,55.9,55.58,13530435,13530435,-0.72,-1.27,56.235,"September 27, 24",-0.0127
70,2024-09-26,54.04,57.11,53.32,56.39,56.07,34463426,34463426,2.36,4.35,55.215,"September 26, 24",0.0435
71,2024-09-25,54.28,54.33,53.41,53.61,53.3,10555705,10555705,-0.67,-1.23,53.9075,"September 25, 24",-0.0123
72,2024-09-24,55.12,55.19,53.79,54.16,53.85,16365645,16365645,-0.96,-1.74,54.565,"September 24, 24",-0.0174
73,2024-09-23,56.26,56.52,54.9,55.11,54.79,14759300,14759300,-1.15,-2.04,55.6975,"September 23, 24",-0.0204
74,2024-09-20,55.35,56.29,54.88,56.29,55.97,45276002,45276002,0.94,1.7,55.7025,"September 20, 24",0.017
75,2024-09-19,55.01,56.01,54.65,55.8,55.48,21399027,21399027,0.79,1.44,55.3675,"September 19, 24",0.0144
76,2024-09-18,54.46,55.19,54.1,54.26,53.95,20109000,20109000,-0.2,-0.36724,54.5025,"September 18, 24",-0.0036724
77,2024-09-17,53.97,55.07,53.97,54.51,54.2,15885201,15885201,0.54,1.0,54.38,"September 17, 24",0.01
78,2024-09-16,52.81,53.93,52.81,53.79,53.48,18066200,18066200,0.98,1.86,53.335,"September 16, 24",0.0186
79,2024-09-13,51.86,53.04,51.75,52.78,52.48,24762027,24762027,0.92,1.77,52.3575,"September 13, 24",0.0177
80,2024-09-12,53.73,54.34,50.22,51.57,51.27,42605419,42605419,-2.16,-4.02,52.465,"September 12, 24",-0.0402
